epoch,accuracy,auc,false_negatives_1,false_positives_1,loss,lr,precision,recall,true_negatives_1,true_positives_1,val_accuracy,val_auc,val_false_negatives_1,val_false_positives_1,val_loss,val_precision,val_recall,val_true_negatives_1,val_true_positives_1
0,0.5184999704360962,0.5308836698532104,1926.0,1926.0,0.7900098562240601,0.01,0.5184999704360962,0.5184999704360962,2074.0,2074.0,0.5519999861717224,0.5792346000671387,896.0,896.0,0.6832037568092346,0.5519999861717224,0.5519999861717224,1104.0,1104.0
1,0.5605000257492065,0.5897911787033081,1758.0,1758.0,0.6945023536682129,0.01,0.5605000257492065,0.5605000257492065,2242.0,2242.0,0.5839999914169312,0.6121372580528259,832.0,832.0,0.6784180998802185,0.5839999914169312,0.5839999914169312,1168.0,1168.0
2,0.5755000114440918,0.6022709012031555,1698.0,1698.0,0.6844114661216736,0.01,0.5755000114440918,0.5755000114440918,2302.0,2302.0,0.515999972820282,0.5493541359901428,968.0,968.0,0.6851668953895569,0.515999972820282,0.515999972820282,1032.0,1032.0
3,0.5832499861717224,0.6173273324966431,1667.0,1667.0,0.6758115887641907,0.01,0.5832499861717224,0.5832499861717224,2333.0,2333.0,0.5649999976158142,0.597969114780426,870.0,870.0,0.6881253719329834,0.5649999976158142,0.5649999976158142,1130.0,1130.0
4,0.6010000109672546,0.6433247923851013,1596.0,1596.0,0.6649954915046692,0.01,0.6010000109672546,0.6010000109672546,2404.0,2404.0,0.5669999718666077,0.6130104660987854,866.0,866.0,0.676459550857544,0.5669999718666077,0.5669999718666077,1134.0,1134.0
5,0.5847499966621399,0.6152942776679993,1661.0,1661.0,0.6779752373695374,0.01,0.5847499966621399,0.5847499966621399,2339.0,2339.0,0.5329999923706055,0.5485536456108093,934.0,934.0,0.7102935910224915,0.5329999923706055,0.5329999923706055,1066.0,1066.0
6,0.5789999961853027,0.6006543636322021,1684.0,1684.0,0.6799768209457397,0.01,0.5789999961853027,0.5789999961853027,2316.0,2316.0,0.5770000219345093,0.5861576795578003,846.0,846.0,0.688910722732544,0.5770000219345093,0.5770000219345093,1154.0,1154.0
7,0.5992500185966492,0.6314516663551331,1603.0,1603.0,0.6681321859359741,0.01,0.5992500185966492,0.5992500185966492,2397.0,2397.0,0.5830000042915344,0.622520923614502,834.0,834.0,0.6690664887428284,0.5830000042915344,0.5830000042915344,1166.0,1166.0
8,0.5852500200271606,0.6160525679588318,1659.0,1659.0,0.6739009618759155,0.01,0.5852500200271606,0.5852500200271606,2341.0,2341.0,0.5845000147819519,0.6101082563400269,831.0,831.0,0.6741023659706116,0.5845000147819519,0.5845000147819519,1169.0,1169.0
9,0.5942500233650208,0.6235145330429077,1623.0,1623.0,0.6717399954795837,0.01,0.5942500233650208,0.5942500233650208,2377.0,2377.0,0.6230000257492065,0.6654720902442932,754.0,754.0,0.65273118019104,0.6230000257492065,0.6230000257492065,1246.0,1246.0
10,0.5867499709129333,0.6122706532478333,1653.0,1653.0,0.6762400269508362,0.01,0.5867499709129333,0.5867499709129333,2347.0,2347.0,0.6025000214576721,0.6421945095062256,795.0,795.0,0.6609269380569458,0.6025000214576721,0.6025000214576721,1205.0,1205.0
11,0.597000002861023,0.6221452355384827,1612.0,1612.0,0.6719703078269958,0.01,0.597000002861023,0.597000002861023,2388.0,2388.0,0.5964999794960022,0.6235094666481018,807.0,807.0,0.6711635589599609,0.5964999794960022,0.5964999794960022,1193.0,1193.0
12,0.5889999866485596,0.6171732544898987,1644.0,1644.0,0.6734107136726379,0.01,0.5889999866485596,0.5889999866485596,2356.0,2356.0,0.5559999942779541,0.5963256359100342,888.0,888.0,0.7033144235610962,0.5559999942779541,0.5559999942779541,1112.0,1112.0
13,0.577750027179718,0.6028161644935608,1689.0,1689.0,0.6792010068893433,0.01,0.577750027179718,0.577750027179718,2311.0,2311.0,0.5289999842643738,0.5654302835464478,942.0,942.0,0.6930821537971497,0.5289999842643738,0.5289999842643738,1058.0,1058.0
14,0.5662500262260437,0.5927587747573853,1735.0,1735.0,0.6828413605690002,0.01,0.5662500262260437,0.5662500262260437,2265.0,2265.0,0.5,0.4725547432899475,1000.0,1000.0,0.7016388773918152,0.5,0.5,1000.0,1000.0
15,0.49125000834465027,0.4883981943130493,2035.0,2035.0,0.6946023106575012,0.0009999999,0.49125000834465027,0.49125000834465027,1965.0,1965.0,0.5,0.5,1000.0,1000.0,0.6996185183525085,0.5,0.5,1000.0,1000.0
16,0.49050000309944153,0.4979831576347351,2038.0,2038.0,0.6933844089508057,0.0009999999,0.49050000309944153,0.49050000309944153,1962.0,1962.0,0.5,0.5,1000.0,1000.0,0.7671735882759094,0.5,0.5,1000.0,1000.0
17,0.5015000104904175,0.49890685081481934,1994.0,1994.0,0.6935534477233887,0.0009999999,0.5015000104904175,0.5015000104904175,2006.0,2006.0,0.5,0.5,1000.0,1000.0,0.776979386806488,0.5,0.5,1000.0,1000.0
18,0.4869999885559082,0.4901241958141327,2052.0,2052.0,0.6936684846878052,0.0009999999,0.4869999885559082,0.4869999885559082,1948.0,1948.0,0.5,0.5,1000.0,1000.0,1.2542157173156738,0.5,0.5,1000.0,1000.0
19,0.4934999942779541,0.49491363763809204,2026.0,2026.0,0.693516731262207,0.0009999999,0.4934999942779541,0.4934999942779541,1974.0,1974.0,0.5,0.5,1000.0,1000.0,1.1388453245162964,0.5,0.5,1000.0,1000.0
20,0.49050000309944153,0.48835521936416626,2038.0,2038.0,0.6936708092689514,9.999999e-05,0.49050000309944153,0.49050000309944153,1962.0,1962.0,0.5,0.5,1000.0,1000.0,1.1796610355377197,0.5,0.5,1000.0,1000.0
